Año;Periodo;Administración Pública;Pub;Enseñanza Superior;ES;Empresas;Empresa;total;relacion_PIB;inflación
1978;Año;73582;0,00;38849;0,00;125606;0,00;238037;0,00;19,98
1979;Año;97057;31,90;49349;27,03;146094;16,31;292501;0,00;15,68
1980;Año;116122;19,64;81978;66,12;193099;32,17;391199;0,00;15,59
1981;Año;138137;18,96;100417;22,49;199061;3,09;437615;0,43;14,56
1982;Año;165988;20,16;129350;28,81;281646;41,49;576984;0,49;14,43
1983;Año;184805;11,34;148883;15,10;313386;11,27;647074;0,48;12,19
1984;Año;196868;6,53;168476;13,16;393128;25,45;758471;0,50;11,30
1985;Año;225734;14,66;192246;14,11;515638;31,16;933618;0,55;8,83
1986;Año;295800;31,04;221040;14,98;663145;28,61;1179985;0,61;8,80
1987;Año;349717;18,23;262444;18,73;761524;14,84;1373685;0,64;5,26
1988;Año;400785;14,60;332756;26,79;981874;28,94;1715415;0,72;5,84
1989;Año;463603;15,67;416321;25,11;1148853;17,01;2028777;0,75;6,89
1990;Año;544168;17,38;521204;25,19;1479926;28,82;2545298;0,85;6,55
1991;Año;612726;12,60;640120;22,82;1613321;9,01;2866167;0,87;5,53
1992;Año;649303;5,97;938162;46,56;1639014;1,59;3226479;0,91;5,35
1993;Año;670092;3,20;1047817;11,69;1599744;-2,40;3317653;0,91;4,93
1994;Año;681812;1,75;1040304;-0,72;1540490;-3,70;3262606;0,85;4,34
1995;Año;661119;-3,03;1136911;9,29;1712229;11,15;3510259;0,81;4,32
1996;Año;704933;6,63;1242701;9,31;1862621;8,78;3810255;0,83;3,21
1997;Año;701549;-0,48;1321932;6,38;1970851;5,81;3994332;0,82;2,02
1998;Año;767300;9,37;1438667;8,83;2457184;24,68;4663151;0,89;1,41
1999;Año;843262;9,90;1504604;4,58;2597100;5,69;4944965;0,88;2,92
2000;Año;904776;7,29;1693882;12,58;3068994;18,17;5667652;0,91;3,96
2001;Año;989349;9,35;1925357;13,67;3529406;15,00;6444112;0,95;2,71
2002;Año;1107815;11,97;2141949;11,25;3926338;11,25;7176102;0,99;4,00
2003;Año;1261763;13,90;2491959;16,34;4443438;13,17;8197160;1,05;2,60
2004;Año;1427504;13,14;2641653;6,01;4864930;9,49;8934087;1,06;3,23
2005;Año;1738053;21,75;2959928;12,05;5485034;12,75;10183014;1,12;3,74
2006;Año;1970824;13,39;3265739;10,33;6557529;19,55;11794091;1,20;2,67
2007;Año;2348843;19,18;3518595;7,74;7453902;13,67;13321340;1,27;4,22
2008;Año;2672288;13,77;3932413;11,76;8073521;8,31;14678222;1,35;1,43
2009;Año;2926733;9,52;4058359;3,20;7567596;-6,27;14552688;1,39;0,79
2010;Año;2930562;0,13;4123150;1,60;7506443;-0,81;14560155;1,40;2,99
2011;Año;2762385;-5,74;4002024;-2,94;7396369;-1,47;14160777;1,36;2,38
2012;Año;2556646;-7,45;3715573;-7,16;7094281;-4,08;13366500;1,29;2,87
2013;Año;2436444;-4,70;3647407;-1,83;6906396;-2,65;12990247;1,27;0,25
2014;Año;2408695;-1,14;3606171;-1,13;6784311;-1,77;12799176;1,24;-1,04
2015;Año;2520417;4,64;3703884;2,71;6920014;2,00;13144315;1,22;0,02
2016;Año;2452775;-2,68;3648812;-1,49;7125973;2,98;13227560;1,19;1,57
2017;Año;2495023;1,72;3808958;4,39;7729249;8,47;14033231;1,21;1,11
2018;Año;2515228;0,81;3946201;3,60;8445352;9,26;14906782;1,24;1,18
2019;Año;2648295;0,81;4141140;3,60;8740596;9,26;15530031;1,25;0,8
2020;Año;2752925;3,95;4202013;1,47;8767459;0,31;15722397;1,41;-0,32
2021;Año;2910025;5,70;4586993;9,16;9696149;10,59;17193167;1,43;6,5